repo,snapshot_at_utc,archived,latest_release_age_days,latest_release_at,review_reason,human_label,review_notes
AvdLee/Xcode-Build-Optimization-Agent-Skill,,0,156,2026-04-01T18:09:24Z,ambiguous_release_boundary,,
ChristopherKahler/paul,2026-09-05T13:42:31.777259+00:00,0,164,2026-03-24T16:27:29Z,ambiguous_release_boundary,,
CortexReach/memory-lancedb-pro,2026-09-05T13:42:44.982257+00:00,0,165,2026-03-23T18:53:30Z,ambiguous_release_boundary,,
0326/mythcanvas,2026-09-05T13:41:58.188170+00:00,0,,,missing_release_evidence,,
0liveiraaa/myDshPresets,2026-09-05T13:42:03.006180+00:00,0,,,missing_release_evidence,,
0x0funky/agent-sprite-forge,,0,,,missing_release_evidence,,
0x6rss/instagram-private-graph,,0,,,missing_release_evidence,,
0xNyk/awesome-agent-cortex,2026-09-05T13:41:54.245506+00:00,0,,,missing_release_evidence,,
0xSero/deepseek-v4-flash-0731-spark-sparkinfer,,0,,,missing_release_evidence,,
0xSero/local-ai-registry,,0,,,missing_release_evidence,,
0xSero/turboquant,,0,,,missing_release_evidence,,
0xTamil/awesome-low-level,2026-09-05T13:42:08.696924+00:00,0,,,missing_release_evidence,,
0xWhiteMage/qwen3.8-27b-kearuga-sglang-dgx-spark-dflash2,,0,,,missing_release_evidence,,
0xsline/awesome-deepseek-harness,,0,,,missing_release_evidence,,
10-X-eng/vibecad,,0,,,missing_release_evidence,,
100Bco/100B-new,2026-09-05T13:42:04.452338+00:00,0,,,missing_release_evidence,,
100axe001/hackathon-odoo,2026-09-05T13:41:54.159462+00:00,0,,,missing_release_evidence,,
1038lab/ComfyUI-MiniMax-H3-Promptor,,0,,,missing_release_evidence,,
10Dream/sub-mod,,0,,,missing_release_evidence,,
11DDBOY11/AI-Growth-Agentic-Commerce,2026-09-05T13:42:10.173410+00:00,0,,,missing_release_evidence,,
123Cx330Yrx/riftcoach-agent,,0,,,missing_release_evidence,,
123fzero/flipper-zero-awesome,,0,,,missing_release_evidence,,
123jjck/mihomo-configurator,2026-09-05T13:42:22.447773+00:00,0,,,missing_release_evidence,,
12ziyad/universal-memory-engine,2026-09-05T13:42:20.235705+00:00,0,,,missing_release_evidence,,
147196421/h3-production-console,2026-09-05T13:41:59.166390+00:00,0,,,missing_release_evidence,,
14H034160212/AlphaTrader,,0,,,missing_release_evidence,,
18-abhishek/KARTAVYA-Crowdsourced-Civic-lssue-Reporting-and-Resolution-System,2026-09-05T13:42:16.450767+00:00,0,,,missing_release_evidence,,
1mm-module/PNGAL,2026-09-05T13:42:07.954817+00:00,0,,,missing_release_evidence,,
1sh1ro/ai-api-zhongzhuan,2026-09-05T13:42:26.179625+00:00,0,,,missing_release_evidence,,
20021123bill/myoicl-bus,,0,,,missing_release_evidence,,
2019Milton/Projeto-Leads-Backend,2026-09-05T13:42:23.744092+00:00,0,,,missing_release_evidence,,
21ChainDAO/21daoAgent,2026-09-05T13:42:14.308231+00:00,0,,,missing_release_evidence,,
21bcarlisle-arch/synthetic-enterprise,,0,,,missing_release_evidence,,
2234839/silkpulse,2026-09-05T13:41:59.524441+00:00,0,,,missing_release_evidence,,
22baggie-commits/Trench-Tool,2026-09-05T13:42:05.713333+00:00,0,,,missing_release_evidence,,
22savage22/wb-deals-bot,,0,,,missing_release_evidence,,
23btrct005-coder/RYVO,2026-09-05T13:42:29.290316+00:00,0,,,missing_release_evidence,,
25175/tvyuan,,0,,,missing_release_evidence,,
27374479-pixel/qlib-uzi-stock,,0,,,missing_release_evidence,,
2Care4Generics/OdenseOfficeCalendar,2026-09-05T13:42:12.041840+00:00,0,,,missing_release_evidence,,
2captcha/2captcha-mcp,2026-09-05T13:42:32.000085+00:00,0,,,missing_release_evidence,,
3441293738/creatorhub,,0,,,missing_release_evidence,,
3641397194-wq/gpt5.6-claude-grok4.6-deepseekv4pro,2026-09-05T13:42:20.997539+00:00,0,,,missing_release_evidence,,
398894496-arch/TDHarness-coding,2026-09-05T13:42:56.984704+00:00,0,,,missing_release_evidence,,
40CoderPlus/build-standard-project,,0,,,missing_release_evidence,,
4163/quivi-t,2026-09-05T13:42:18.635132+00:00,0,,,missing_release_evidence,,
4965898/UmiOCR-PP-OCRv6-ONNX-Plugin,,0,,,missing_release_evidence,,
5758703/CV_PythonVue_TigerPro,,0,,,missing_release_evidence,,
5d5d5f5f5f/abc,2026-09-05T13:42:32.849683+00:00,0,,,missing_release_evidence,,
5uck1ess/cicero,2026-09-05T13:42:12.146174+00:00,0,,,missing_release_evidence,,
5uck1ess/tts-bench,,0,,,missing_release_evidence,,
6551Team/claude-code-design-guide,2026-09-05T13:42:39.847127+00:00,0,,,missing_release_evidence,,
6551Team/opennews-mcp,,0,,,missing_release_evidence,,
6551Team/opentwitter-mcp,,0,,,missing_release_evidence,,
690878173/cs_dianfei,,0,,,missing_release_evidence,,
6rose9/rice-agent,2026-09-05T13:42:18.664906+00:00,0,,,missing_release_evidence,,
7-e1even/learn-agent,2026-09-05T13:42:44.715732+00:00,0,,,missing_release_evidence,,
777genius/social-monitor,2026-09-05T13:42:30.807559+00:00,0,,,missing_release_evidence,,
7onez/cti-expert,,0,,,missing_release_evidence,,
