repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label,label_source,label_evidence
psf/requests,2,2,71.1,27.2,22,200,1,1,0,113,2026-05-14T19:27:15Z,healthy,recent_release_evidence,Latest GitHub release is 113 days old.
pallets/flask,19,2,98.1,10.1,17,200,1,1,0,198,2026-02-19T05:01:30Z,watch,stale_release_evidence,Latest GitHub release is 198 days old; repository is not archived.
fastapi/fastapi,3,2,88.9,50.6,200,200,1,1,0,37,2026-07-29T17:17:26Z,healthy,recent_release_evidence,Latest GitHub release is 37 days old.
pandas-dev/pandas,0,5,10.4,65.0,200,200,1,1,0,44,2026-07-22T21:47:08Z,healthy,recent_release_evidence,Latest GitHub release is 44 days old.
scikit-learn/scikit-learn,0,11,13.6,93.4,200,200,1,1,0,94,2026-06-02T13:10:06Z,healthy,recent_release_evidence,Latest GitHub release is 94 days old.
pytest-dev/pytest,4,3,44.0,50.7,200,200,1,1,0,78,2026-06-19T10:58:55Z,healthy,recent_release_evidence,Latest GitHub release is 78 days old.
encode/httpx,194,2,0,34.9,0,200,1,1,0,637,2024-12-06T15:36:24Z,watch,stale_release_evidence,Latest GitHub release is 637 days old; repository is not archived.
tiangolo/typer,2,2,100.0,59.2,110,107,1,1,0,8,2026-08-28T10:26:38Z,healthy,recent_release_evidence,Latest GitHub release is 8 days old.
astral-sh/ruff,0,4,44.4,73.7,200,200,1,1,0,1,2026-09-03T17:20:13Z,healthy,recent_release_evidence,Latest GitHub release is 1 days old.
numpy/numpy,0,7,36.5,81.4,200,200,1,1,0,26,2026-08-09T17:42:29Z,healthy,recent_release_evidence,Latest GitHub release is 26 days old.
microsoft/vscode,0,8,55.2,91.1,200,200,1,1,0,1,2026-09-03T15:25:32Z,healthy,recent_release_evidence,Latest GitHub release is 1 days old.
facebook/react,0,7,30.8,55.1,176,200,1,1,0,45,2026-07-21T15:49:09Z,healthy,recent_release_evidence,Latest GitHub release is 45 days old.
vuejs/core,2,1,81.8,77.2,111,200,1,1,0,9,2026-08-27T05:47:42Z,healthy,recent_release_evidence,Latest GitHub release is 9 days old.
sveltejs/svelte,1,2,64.2,68.2,139,200,1,1,0,7,2026-08-28T23:31:40Z,healthy,recent_release_evidence,Latest GitHub release is 7 days old.
expressjs/express,13,1,51.1,17.3,17,200,1,0,0,277,2025-12-01T20:54:44Z,watch,stale_release_evidence,Latest GitHub release is 277 days old; repository is not archived.
nestjs/nest,5,1,67.6,81.5,200,200,1,1,0,9,2026-08-27T12:23:49Z,healthy,recent_release_evidence,Latest GitHub release is 9 days old.
vercel/next.js,0,9,93.8,51.5,200,200,1,1,0,4,2026-08-31T20:02:15Z,healthy,recent_release_evidence,Latest GitHub release is 4 days old.
gin-gonic/gin,21,3,26.7,31.9,11,200,1,1,0,189,2026-02-28T10:12:25Z,watch,stale_release_evidence,Latest GitHub release is 189 days old; repository is not archived.
kubernetes/kubernetes,0,7,28.6,85.7,200,200,0,1,0,9,2026-08-26T16:29:12Z,healthy,recent_release_evidence,Latest GitHub release is 9 days old.
prometheus/prometheus,0,9,38.3,68.8,200,200,1,1,0,18,2026-08-18T08:49:40Z,healthy,recent_release_evidence,Latest GitHub release is 18 days old.
hashicorp/terraform,0,6,53.2,75.1,200,200,1,1,0,2,2026-09-02T14:49:32Z,healthy,recent_release_evidence,Latest GitHub release is 2 days old.
hashicorp/vault,0,9,25.5,10.2,200,200,1,1,0,3,2026-09-01T14:37:47Z,healthy,recent_release_evidence,Latest GitHub release is 3 days old.
rust-lang/rust,1,16,16.4,75.4,200,200,1,1,0,1,2026-09-03T13:14:07Z,healthy,recent_release_evidence,Latest GitHub release is 1 days old.
tokio-rs/tokio,0,4,45.9,74.0,111,200,1,1,0,46,2026-07-20T17:06:31Z,healthy,recent_release_evidence,Latest GitHub release is 46 days old.
oven-sh/bun,0,1,34.7,53.1,200,200,1,1,0,0,2026-09-05T05:55:48Z,healthy,recent_release_evidence,Latest GitHub release is 0 days old.
spring-projects/spring-boot,0,2,66.0,56.3,200,200,1,1,0,15,2026-08-20T20:02:36Z,healthy,recent_release_evidence,Latest GitHub release is 15 days old.
elastic/elasticsearch,0,22,19.6,86.6,200,200,1,1,0,2,2026-09-03T10:08:41Z,healthy,recent_release_evidence,Latest GitHub release is 2 days old.
grafana/grafana,0,23,14.5,32.1,200,200,1,1,0,3,2026-09-02T07:00:31Z,healthy,recent_release_evidence,Latest GitHub release is 3 days old.
atom/atom,1382,4,27.1,33.1,0,200,0,1,1,1642,2022-03-08T09:58:25Z,risky,github_archived_flag,GitHub marks this repository as archived.
angular/angular.js,875,5,90.2,16.5,0,200,1,1,1,,,risky,github_archived_flag,GitHub marks this repository as archived.
minio/minio,204,2,95.4,68.9,0,200,1,1,1,323,2025-10-16T19:33:51Z,risky,github_archived_flag,GitHub marks this repository as archived.
localstack/localstack,166,6,100.0,30.0,0,200,1,1,1,190,2026-02-26T16:57:42Z,risky,github_archived_flag,GitHub marks this repository as archived.
FlowiseAI/Flowise,22,1,12.7,73.5,35,200,1,1,1,37,2026-07-29T15:51:25Z,risky,github_archived_flag,GitHub marks this repository as archived.
AntonOsika/gpt-engineer,656,3,61.9,63.6,0,107,1,1,1,820,2024-06-06T18:25:22Z,risky,github_archived_flag,GitHub marks this repository as archived.
base/chains,1135,19,0,5.3,0,200,1,1,1,,,risky,github_archived_flag,GitHub marks this repository as archived.
pydantic/pydantic,1,4,35.9,55.4,178,200,1,1,0,7,2026-08-28T14:06:45Z,healthy,recent_release_evidence,Latest GitHub release is 7 days old.
Textualize/rich,74,1,18.5,37.3,2,200,1,1,0,146,2026-04-12T08:27:58Z,healthy,recent_release_evidence,Latest GitHub release is 146 days old.
encode/starlette,0,2,89.2,55.6,86,200,1,1,0,27,2026-08-08T18:27:12Z,healthy,recent_release_evidence,Latest GitHub release is 27 days old.
pallets/click,9,3,78.3,47.2,92,200,1,1,0,9,2026-08-27T04:00:53Z,healthy,recent_release_evidence,Latest GitHub release is 9 days old.
httpie/cli,626,1,11.6,18.7,0,173,1,1,0,672,2024-11-01T17:33:07Z,watch,stale_release_evidence,Latest GitHub release is 672 days old; repository is not archived.
