repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,label
psf/requests,2,2,71.1,27.2,22,200,1,1,
pallets/flask,19,2,98.1,10.1,17,200,1,1,
fastapi/fastapi,3,2,88.9,50.6,200,200,1,1,
pandas-dev/pandas,0,5,10.4,65.0,200,200,1,1,
scikit-learn/scikit-learn,0,11,14.3,93.4,200,200,1,1,
pytest-dev/pytest,4,3,44.0,50.7,200,200,1,1,
encode/httpx,194,2,0,34.9,0,200,1,1,
tiangolo/typer,2,2,100.0,59.2,110,107,1,1,
astral-sh/ruff,0,4,44.4,73.7,200,200,1,1,
numpy/numpy,0,7,36.5,81.4,200,200,1,1,
microsoft/vscode,0,8,57.6,91.1,200,200,1,1,
facebook/react,0,7,30.8,55.1,176,200,1,1,
vuejs/core,2,1,81.8,77.2,111,200,1,1,
sveltejs/svelte,1,2,64.2,68.2,139,200,1,1,
expressjs/express,13,1,51.1,17.3,17,200,1,0,
nestjs/nest,5,1,67.6,81.5,200,200,1,1,
vercel/next.js,0,9,88.8,46.8,200,200,1,1,
golang/go,0,11,37.3,0,200,200,0,1,
gin-gonic/gin,21,3,26.7,31.9,11,200,1,1,
kubernetes/kubernetes,0,7,28.6,85.7,200,200,0,1,
prometheus/prometheus,0,9,38.3,68.8,200,200,1,1,
hashicorp/terraform,0,6,53.2,75.1,200,200,1,1,
hashicorp/vault,0,9,25.5,10.2,200,200,1,1,
rust-lang/rust,1,16,16.7,75.4,200,200,1,1,
tokio-rs/tokio,0,4,45.9,74.0,111,200,1,1,
oven-sh/bun,0,1,34.7,53.1,200,200,1,1,
spring-projects/spring-boot,0,2,66.0,56.3,200,200,1,1,
elastic/elasticsearch,0,22,19.6,86.6,200,200,1,1,
grafana/grafana,0,23,14.5,32.1,200,200,1,1,
