repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label
0x0funky/agent-sprite-forge,54,1,12.5,0,14,1,0,1,0,,,
0x6rss/instagram-private-graph,1,1,0,0,4,1,0,0,0,,,
0xMH/pyfunda,1,1,87.5,83.3,5,2,1,1,0,6,2026-08-29T21:53:05Z,
0xRadikal/Free-v2ray-Configs,0,1,0,57.1,100,6,1,1,0,11,2026-08-24T22:48:45Z,
0xSero/deepseek-v4-flash-0731-spark-sparkinfer,2,1,100.0,33.3,34,2,1,0,0,,,
0xSero/local-ai-registry,1,1,0,90.9,100,7,1,1,0,,,
0xSero/turboquant,2,1,12.5,57.1,5,5,0,1,0,,,
0xSteph/pentest-ai,2,1,100.0,55.0,63,1,1,1,0,3,2026-09-02T03:27:01Z,
0xWhiteMage/qwen3.8-27b-kearuga-sglang-dgx-spark-dflash2,0,1,0,0,49,2,0,0,0,,,
0xsline/awesome-deepseek-harness,0,1,100.0,97.9,100,100,1,0,0,,,
0xzerolight/anki_miner,1,1,100.0,80.8,100,7,1,1,0,2,2026-09-02T20:41:49Z,
10-X-eng/vibecad,0,2,73.8,94.6,100,13,1,1,0,,,
1038lab/ComfyUI-MiniMax-H3-Promptor,2,1,90.0,0,75,1,1,0,0,,,
1076184145/video-automation,0,1,0,94.1,65,3,1,1,0,0,2026-09-05T02:34:55Z,
10Dream/sub-mod,0,1,0,0,88,3,1,0,0,,,
120318/Aethera,0,1,0,96.8,21,1,1,1,0,28,2026-08-08T11:20:59Z,
123Cx330Yrx/riftcoach-agent,5,1,0,0,100,1,1,1,0,,,
123fzero/flipper-zero-awesome,0,1,0,0,90,2,1,1,0,,,
14790897/MiqroForge-Desktop,0,2,58.6,96.4,100,100,1,1,0,1,2026-09-04T03:27:27Z,
14H034160212/AlphaTrader,0,1,0,0,100,1,1,1,0,,,
1CatAI/1Cat-vLLM,0,12,55.9,84.4,100,100,1,1,0,3,2026-09-02T09:47:14Z,
1bananachicken/MaaNTE,2,2,64.4,89.4,86,28,1,0,0,5,2026-08-30T14:36:31Z,
1mancompany/OneManCompany,9,1,55.6,83.8,25,10,1,1,0,118,2026-05-09T23:36:41Z,
20021123bill/myoicl-bus,0,1,0,0,100,3,0,0,0,,,
21bcarlisle-arch/synthetic-enterprise,0,1,25.0,100.0,100,2,1,1,0,,,
2233admin/opencli-Razormind,0,2,27.8,85.5,100,14,1,1,0,33,2026-08-03T13:29:18Z,
22savage22/wb-deals-bot,0,1,0,0,100,3,1,1,0,,,
23Star/xianyu-super-butler,0,2,68.6,72.4,100,10,1,1,0,19,2026-08-16T14:48:53Z,
2501Pr0ject/RAGnarok-AI,0,1,100.0,96.8,41,4,1,1,0,1,2026-09-04T10:34:53Z,
25175/tvyuan,0,1,0,100.0,100,4,1,0,0,,,
2718labs/2718lab-devkit,0,1,100.0,80.0,100,1,1,1,0,0,2026-09-05T05:41:56Z,
27374479-pixel/qlib-uzi-stock,0,1,0,0,64,2,1,1,0,,,
2951461586/GPT-Register-Tool,4,1,11.1,0,100,1,1,1,0,5,2026-08-30T17:02:51Z,
2akouwu/reverify,0,1,40.0,88.9,71,3,1,1,0,0,2026-09-04T18:13:34Z,
3169657175/gpt-webcodex,11,1,14.3,0,5,2,0,1,0,7,2026-08-29T08:55:52Z,
3441293738/creatorhub,1,1,8.3,84.6,100,1,1,1,0,,,
398894496-arch/runtime36,0,1,16.7,0,35,2,1,1,0,0,2026-09-05T10:05:42Z,
40CoderPlus/build-standard-project,0,1,0,100.0,10,1,1,1,0,,,
410979729/scope-recall-hermes,0,1,95.8,69.6,100,4,1,1,0,5,2026-08-31T11:19:43Z,
4965898/UmiOCR-PP-OCRv6-ONNX-Plugin,0,1,100.0,100.0,58,4,0,1,0,,,
525815266/YYB-Go-Enhanced,0,1,100.0,33.3,100,2,1,1,0,18,2026-08-18T00:54:01Z,
555cute/r20-quantum-trader,0,1,0,0,100,2,0,1,0,0,2026-09-05T12:07:44Z,
5758703/CV_PythonVue_TigerPro,2,1,25.0,100.0,100,2,1,1,0,,,
5945ggh/EasierLightNovel,0,1,100.0,100.0,24,2,0,1,0,214,2026-02-02T16:10:56Z,
5uck1ess/tts-bench,0,1,50.0,100.0,100,2,1,1,0,,,
6551Team/opennews-mcp,18,1,33.3,100.0,11,3,0,0,0,,,
6551Team/opentwitter-mcp,5,1,0,100.0,4,2,0,0,0,,,
690878173/cs_dianfei,0,1,0,0,100,2,1,0,0,,,
69gg/Undefined,9,1,100.0,97.7,31,2,1,1,0,9,2026-08-27T07:14:58Z,
6v17/VideoSeek,0,1,100.0,0,100,2,1,1,0,24,2026-08-11T17:38:21Z,
751K/holland2stay-monitor,0,1,100.0,0,100,1,1,1,0,2,2026-09-02T13:52:14Z,
7onez/cti-expert,8,2,66.7,83.3,75,6,1,1,0,,,
867008429-sudo/XuanJiGe-AI,1,1,0,0,18,1,0,1,0,,,
88lin/workbuddy-auto-signin,0,1,100.0,0,18,1,1,0,0,3,2026-09-02T02:44:53Z,
8pig/llm-ops,0,1,0,0,100,1,0,1,0,,,
917Dhj/DeepPaperNote,1,1,80.0,76.5,100,8,1,1,0,6,2026-08-29T18:17:47Z,
95ge/cfquant,0,1,100.0,0,62,1,0,1,0,,,
9pf4trk4st-design/shinsum-arare-monitor,0,1,0,0,100,2,1,0,0,,,
